nontropical_binomial,nontropical_n,nontropical_lat,nontropical_cv_logmass,tropical_binomial,tropical_n,tropical_lat,tropical_cv_logmass,dist_phy,dlat,dist_slc,tropical_Diet.Inv,tropical_Diet.Vend,tropical_Diet.Vect,tropical_Diet.Vfish,tropical_Diet.Vunk,tropical_Diet.Scav,tropical_Diet.Fruit,tropical_Diet.Nect,tropical_Diet.Seed,tropical_Diet.PlantO,tropical_Diet.5Cat,tropical_ForStrat.watbelowsurf,tropical_ForStrat.wataroundsurf,tropical_ForStrat.ground,tropical_ForStrat.understory,tropical_ForStrat.midhigh,tropical_ForStrat.canopy,tropical_ForStrat.aerial,tropical_PelagicSpecialist,tropical_Nocturnal,tropical_BodyMass.Value,tropical_female_maturity_d,tropical_litter_or_clutch_size_n,tropical_litters_or_clutches_per_y,tropical_adult_body_mass_g,tropical_maximum_longevity_y,tropical_gestation_d,tropical_weaning_d,tropical_birth_or_hatching_weight_g,tropical_weaning_weight_g,tropical_egg_mass_g,tropical_incubation_d,tropical_fledging_age_d,tropical_longevity_y,tropical_male_maturity_d,tropical_inter_litter_or_interbirth_interval_y,tropical_female_body_mass_g,tropical_male_body_mass_g,tropical_no_sex_body_mass_g,tropical_egg_width_mm,tropical_egg_length_mm,tropical_fledging_mass_g,tropical_adult_svl_cm,tropical_male_svl_cm,tropical_female_svl_cm,tropical_birth_or_hatching_svl_cm,tropical_female_svl_at_maturity_cm,tropical_female_body_mass_at_maturity_g,tropical_no_sex_svl_cm,tropical_no_sex_maturity_d,tropical_spatial_cv_temp,tropical_spatial_cv_precip,tropical_seasonal_var_temp,tropical_seasonal_var_precip,tropical_interannual_var_temp,tropical_interannual_var_precip,tropical_spatial_spread,tropical_area,tropical_migrant_status,tropical_range_size,tropical_total_richness,tropical_congener_richness,tropical_nsubpop,tropical_elevation_cv,nontropical_Diet.Inv,nontropical_Diet.Vend,nontropical_Diet.Vect,nontropical_Diet.Vfish,nontropical_Diet.Vunk,nontropical_Diet.Scav,nontropical_Diet.Fruit,nontropical_Diet.Nect,nontropical_Diet.Seed,nontropical_Diet.PlantO,nontropical_Diet.5Cat,nontropical_ForStrat.watbelowsurf,nontropical_ForStrat.wataroundsurf,nontropical_ForStrat.ground,nontropical_ForStrat.understory,nontropical_ForStrat.midhigh,nontropical_ForStrat.canopy,nontropical_ForStrat.aerial,nontropical_PelagicSpecialist,nontropical_Nocturnal,nontropical_BodyMass.Value,nontropical_female_maturity_d,nontropical_litter_or_clutch_size_n,nontropical_litters_or_clutches_per_y,nontropical_adult_body_mass_g,nontropical_maximum_longevity_y,nontropical_gestation_d,nontropical_weaning_d,nontropical_birth_or_hatching_weight_g,nontropical_weaning_weight_g,nontropical_egg_mass_g,nontropical_incubation_d,nontropical_fledging_age_d,nontropical_longevity_y,nontropical_male_maturity_d,nontropical_inter_litter_or_interbirth_interval_y,nontropical_female_body_mass_g,nontropical_male_body_mass_g,nontropical_no_sex_body_mass_g,nontropical_egg_width_mm,nontropical_egg_length_mm,nontropical_fledging_mass_g,nontropical_adult_svl_cm,nontropical_male_svl_cm,nontropical_female_svl_cm,nontropical_birth_or_hatching_svl_cm,nontropical_female_svl_at_maturity_cm,nontropical_female_body_mass_at_maturity_g,nontropical_no_sex_svl_cm,nontropical_no_sex_maturity_d,nontropical_spatial_cv_temp,nontropical_spatial_cv_precip,nontropical_seasonal_var_temp,nontropical_seasonal_var_precip,nontropical_interannual_var_temp,nontropical_interannual_var_precip,nontropical_spatial_spread,nontropical_area,nontropical_migrant_status,nontropical_range_size,nontropical_total_richness,nontropical_congener_richness,nontropical_nsubpop,nontropical_elevation_cv,clutch_size_diff,absolute_clutch_size_diff
Stelgidopteryx_serripennis,184,39.67071655,0.067132214,Stelgidopteryx_ruficollis,84,10,0.052397757,6.792942302,30.39139047,6889.026726,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,40,60,0,0,0,0,16.1,363.468,5.2,1,16,5.916666667,NA,NA,NA,NA,1.74,14.75,19.5,5.9,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023452389,0.656057341,314.5592238,38.80306647,5.774141386,241.6308571,2845290.39,22520827.43,partial,1156.60848,290.253012,0.506024096,46,0.949686707,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,30,70,0,0,0,0,0,15.69,365,6,1,15.8,5.916666667,NA,NA,NA,NA,1.74,15.25,19.5,5.9,365,1,13.3,14.5,15.8,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,0.022024534,0.769702497,693.7110444,49.74710745,7.444862174,126.8580775,2299120.982,40557874.58,partial,1042.319968,224.25,0.095238095,96,0.874708228,0.8,0.8
Sterna_elegans,37,33.703,0.032008398,Sterna_sandvicensis,16,26.1,0.043226822,1.431302185,24.08578016,9999.611973,10,0,0,90,0,0,0,0,0,0,VertFishScav,70,20,10,0,0,0,0,1,0,199.83,910.968,1.21,1,208,30.8,NA,NA,27.5,NA,35,23.5,32,27.16666667,1095,NA,237,296,204.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003810531,0.615407715,314.8931118,67.49639511,5.993870922,255.4176287,2176573.571,4102148.954,partial,255.8025005,132.6666667,1.466666667,9,0.397887908,0,0,0,100,0,0,0,0,0,0,VertFishScav,100,0,0,0,0,0,0,1,0,260,1095,1,1,258.3,20.91666667,NA,NA,26.4,NA,37.89,26,NA,8.916666667,1095,NA,NA,NA,259.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011505944,0.509353245,445.3363998,90.80637764,5.944033286,130.7895142,419111.4546,252331.1675,obligate,0.124912059,185.5945946,0.972972973,18,0.209838667,-0.21,0.21
Thryothorus_ludovicianus,196,36.23667,0.15136008,Henicorhina_leucosticta,168,16.2633,0.035862404,12.66260527,30.78241015,3837.556171,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,40,50,10,0,0,0,0,14.18,NA,2,NA,14.8,NA,NA,NA,NA,NA,2.42,18,NA,NA,NA,NA,13.7,15.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00532961,0.243017719,125.9062793,52.26411806,3.948117711,327.658714,959530.5615,5003746,none,206.8407283,387.6580645,0.04516129,66,0.759340818,60,0,20,0,0,0,10,0,10,0,Invertebrate,0,0,40,40,20,0,0,0,0,18.96,365,4.435,1.75,19.56666667,9.2,NA,NA,2.42,NA,2.175,14,13.5,6.1,365,NA,18.7,21.2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016380923,0.214544846,738.745585,23.26728597,8.016326219,184.1807415,1343556.701,30550125.52,none,301.953978,232.2242424,0.042424242,115,1.448414185,2.435,2.435
Todiramphus_sanctus,12,9.99314,0.178714025,Todiramphus_chloris,105,14.3,0.057847306,2.131094574,13.35433173,5511.604257,80,0,10,10,0,0,0,0,0,0,Invertebrate,10,30,40,20,0,0,0,0,0,66.09,NA,3.885,2,66.25,9.583333333,NA,NA,NA,NA,9.2,NA,44,8.833333333,NA,NA,65.625,55.6,69.4125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005285314,0.375578831,83.51613989,41.45962815,3.060391866,525.1292175,14412330.6,145920576.5,none,317.680675,88.3592233,0.281553398,47,0.767006909,70,10,10,10,0,0,0,0,0,0,Invertebrate,0,0,40,30,20,0,10,0,0,52.96,NA,4.635,NA,53.95,8.083333333,NA,NA,NA,NA,7.4,NA,NA,8.083333333,NA,NA,45.45,45.1,55.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015864295,0.409608081,138.6148303,23.42089629,3.580556154,502.9713529,1895871.421,7205501.082,partial,540.7427692,116.4166667,0.583333333,12,0.412552863,0.75,0.75
Toxostoma_curvirostre,179,30.4447763,0.035929726,Toxostoma_ocellatum,15,17.18909,0.011647698,16.60772882,8.916777599,1127.257043,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0,84.29,NA,2,NA,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007405175,0.223408195,130.5693893,92.71523641,4.300762415,220.2382919,213766.9628,35540.43675,none,7.610027338,270.3333333,0.533333333,10,0.188796709,50,0,0,0,0,0,30,0,20,0,Omnivore,0,0,100,0,0,0,0,0,0,80.54,364.234,3.62,2,78.7,10.8,NA,NA,5.5,NA,5.875,13,15,10.8,365,NA,75.8,80.9,79.4,NA,NA,46.6,NA,NA,NA,NA,NA,NA,NA,NA,0.012420015,0.422880346,618.2003737,74.91574567,7.537943406,106.0662379,749346.6532,2060332.01,none,187.9324342,237.0764331,1.23566879,98,0.529331588,1.62,1.62
Toxostoma_longirostre,17,26.7379,0.017914016,Toxostoma_guttatum,13,20.5,0.007855709,8.437264982,5.375930384,1382.215534,70,0,0,0,0,0,30,0,0,0,Invertebrate,0,0,50,50,0,0,0,0,0,52.8,NA,NA,NA,52.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012240191,0.452452698,200.2295403,53.6874686,4.447168919,258.3898245,644541.4525,19445.65075,none,0.04129258,185.2307692,0.615384615,5,1.8146729,70,0,0,0,0,0,30,0,0,0,Invertebrate,0,0,80,20,0,0,0,0,0,67.6,NA,3.85,2,67.65,7.833333333,NA,NA,4.2,NA,5.53,14,NA,7.3,NA,NA,NA,NA,67.625,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,NA,0.00323906,0.180972828,501.1260353,48.00064776,6.753665777,156.3680156,308968.2143,93516.99567,none,27.12035209,286.3076923,1.230769231,11,1.234687232,NA,NA
Tregellasia_capito,49,18.168259,0.043954005,Tregellasia_leucops,21,4.699033333,0.030534264,8.798906114,24.26883308,2894.204684,80,0,0,0,0,0,0,0,20,0,Invertebrate,0,0,0,40,60,0,0,0,0,15.57,NA,1.7,NA,15.975,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,15.025,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004130466,0.139582087,25.95221418,20.56052303,3.848206073,567.138176,247448.8943,91763.71586,none,16.45022065,186.5714286,0,10,0.453774028,80,0,0,0,0,0,0,0,20,0,Invertebrate,0,0,60,30,10,0,0,0,0,13.9,NA,2,NA,13.9,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,12.2,14.4,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004014702,0.194168628,277.303204,78.04148725,4.310863592,549.2223056,202243.8782,51424.23683,none,14.06283371,330.0612245,0.244897959,20,0.232764854,0.3,0.3
Trochocercus_cyanomelas,22,3.3,0.099270256,Trochocercus_nitens,19,0.82,0.048861473,7.71208638,27.69730169,3261.550578,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,20,60,20,0,0,0,11.8,NA,2,NA,11.85,NA,NA,NA,NA,NA,1.78,NA,NA,NA,NA,NA,11.9,11.8,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003244306,0.176893189,53.07632065,45.32003925,3.983835296,259.8519303,1207325.695,2497303.167,none,299.8876027,540.1052632,0,6,0.421848413,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,50,50,0,0,0,0,10.2,NA,2.3,NA,10.2,NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,10.1,10.2,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023264019,0.113769669,119.7229198,65.75536433,4.039682237,227.9712961,187250.5027,103427.4203,none,16.51757893,367.3636364,0.727272727,10,2.124549347,0.3,0.3
Turdus_merula,109,41.2653,0.033614189,Turdus_tephronotus,13,1.6,0.017938021,15.71381218,50.381208,5882.010322,60,0,0,0,0,0,20,0,20,0,Invertebrate,0,0,100,0,0,0,0,0,0,49.4,NA,2.5,NA,49.85,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,51,48.7,49.7,NA,NA,NA,20.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,81.27824788,444.1666667,0.416666667,5,NA,50,0,0,0,10,0,20,0,20,0,Omnivore,0,0,60,20,20,0,0,0,0,102.73,364.234,4,4,102,21.83333333,NA,NA,5.5,NA,7.2,13.5,13.5,21.06666667,365,NA,97.5,98.3,100.15,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,0.012694041,0.348237145,641.8327131,36.92314682,7.777919725,125.3534865,3497015.609,43225683.46,partial,1320.844604,157.6330275,3.80733945,40,1.031190433,1.5,1.5
Turdus_migratorius,1753,40.612084,0.037749652,Turdus_rufitorques,37,16.67444444,0.037537753,1.360640409,35.55250664,4218.092963,40,0,0,0,0,0,50,0,10,0,Omnivore,0,0,100,0,0,0,0,0,0,72,NA,2.7,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,24.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,5.150028076,277.8571429,2.942857143,20,NA,50,0,0,0,0,0,50,0,0,0,Omnivore,0,0,20,40,40,0,0,0,0,78.5,364.234,3.43,2.5,78.78333333,17,NA,NA,5.5,NA,6.7,13,14.3,13.91666667,365,NA,75,84.9,78.5,NA,NA,56.9,26.5,NA,NA,NA,NA,NA,NA,NA,0.011242173,0.430203802,668.7384169,65.85030423,7.705832394,190.0198988,1555272.347,7224252.07,partial,2135.519854,208.6333333,0.024074074,727,1.034428294,0.73,0.73
